CONCEPT_ID	CONCEPT_CODE	CONCEPT_CLASS
2720491	M0075	Procedure
2617204	G0101	Procedure
2719534	L1001	Procedure
43533367	G8981	Procedure
43533181	G8983	Procedure
43533325	G8982	Procedure
2721154	S2340	Procedure
2721155	S2341	Procedure
2720710	Q3031	Procedure
2617209	G0106	Procedure
2617222	G0120	Procedure
2617224	G0122	Procedure
2617208	G0105	Procedure
2617223	G0121	Procedure
2617406	G0328	Procedure
2617207	G0104	Procedure
2721429	S9056	Procedure
2719577	L1690	Procedure
2718481	J2	Procedure
2617384	G0306	Procedure
2721238	S4013	Procedure
2721239	S4014	Procedure
2721240	S4015	Procedure
2721415	S8950	Procedure
2721744	TG	Procedure
2721059	S0592	Procedure
2618158	H2000	Procedure
2721917	V5020	Procedure
43533251	G0453	Procedure
2721123	S2140	Procedure
2721124	S2142	Procedure
2721023	S0257	Procedure
40664618	G8780	Procedure
2719418	L0113	Procedure
2721084	S1040	Procedure
2616453	C9716	Procedure
2721550	S9485	Procedure
2721549	S9484	Procedure
2618161	H2011	Procedure
2720892	QX	Procedure
2720894	QZ	Procedure
2720385	L8035	Procedure
2721158	S2348	Procedure
2616976	E1600	Procedure
40664514	G0429	Procedure
40664544	C9800	Procedure
2617274	G0186	Procedure
40660468	G8571	Procedure
2721540	S9465	Procedure
2721451	S9141	Procedure
2721450	S9140	Procedure
2721538	S9455	Procedure
2721539	S9460	Procedure
2618082	GH	Procedure
2617291	G0204	Procedure
2617293	G0206	Procedure
2721062	S0605	Procedure
2617801	G8397	Procedure
2721159	S2350	Procedure
2617834	G8434	Procedure
2617742	G8334	Procedure
2617840	G8440	Procedure
2721091	S2061	Procedure
2721981	V5364	Procedure
2721748	TL	Procedure
2721129	S2202	Procedure
2720324	L6945	Procedure
2720323	L6940	Procedure
2720180	L6205	Procedure
2720194	L6450	Procedure
2720179	L6200	Procedure
2617366	G0283	Procedure
43533311	S8930	Procedure
2617365	G0282	Procedure
2617472	G0405	Procedure
2617470	G0403	Procedure
2617471	G0404	Procedure
2721042	S0347	Procedure
2617374	G0295	Procedure
2617407	G0329	Procedure
2721357	S8092	Procedure
2721309	S5160	Procedure
2617156	ET	Procedure
2618198	HJ	Procedure
2616461	C9724	Procedure
2721544	S9474	Procedure
2721412	S8940	Procedure
2617958	G9014	Procedure
2721453	S9150	Procedure
40664718	G9156	Procedure
40664659	G8872	Procedure
2617254	G0166	Procedure
2721426	S9034	Procedure
2721877	V2628	Procedure
40664664	G0447	Procedure
40662352	G0421	Procedure
40660436	G0420	Procedure
2721649	T1027	Procedure
2720585	Q0114	Procedure
2721174	S2411	Procedure
2614993	A4730	Procedure
2721915	V5011	Procedure
40664730	G8813	Procedure
40664867	G8814	Procedure
2617331	G0246	Procedure
2617475	G0408	Procedure
2617474	G0407	Procedure
2617473	G0406	Procedure
2721754	TS	Procedure
2721025	S0265	Procedure
2617221	G0118	Procedure
2617220	G0117	Procedure
2617477	G0410	Procedure
2721670	T2013	Procedure
2721669	T2012	Procedure
2721671	T2014	Procedure
2721672	T2015	Procedure
2721674	T2017	Procedure
2721673	T2016	Procedure
2721676	T2019	Procedure
2721675	T2018	Procedure
2719510	L0810	Procedure
2719512	L0830	Procedure
2719511	L0820	Procedure
2720316	L6905	Procedure
2720317	L6910	Procedure
2720315	L6900	Procedure
2720318	L6915	Procedure
2721089	S2055	Procedure
2720661	Q2	Procedure
2721913	V5008	Procedure
2721977	V5299	Procedure
2719996	L5341	Procedure
2719986	L5280	Procedure
