hcpsc_id	snomed_id
40660436	4254480
2618177	4258834
2721040	4187078
2721041	4187078
2721042	4163951
2617374	4210260
2617407	4210260
2615425	4056945
2617156	4249865
2720495	4194238
2617254	4304552
2615488	4042005
2617204	4188188
2721065	4188188
40664723	4327634
40664741	4150737
2617384	4132152
2720585	4170304
2616461	4144881
40658347	4307376
2721118	4194962
2616498	4084181
43533188	4170914
2618197	4194550
2617331	4307024
40664730	4307024
40664867	4307024
2617473	4338366
2617474	4338366
2617475	4338366
2617332	4295201
2721043	4295201
2720493	4223373
2720880	4174669
2720893	4174669
2721025	4196362
2617220	4062495
2617221	4062495
2617256	4141971
40664503	4295028
40664527	4295028
40662352	4303556
2617477	4296166
2617478	4296166
2721063	4306780
2721064	4306780
2721065	4306780
2721113	4106261
2721089	4203782
2618192	4214406
2721066	4296936
2721101	4168988
40664693	4120120
40664745	4120120
40664909	4120120
2617179	4040839
2719986	4142529
2719996	4142529
2617269	4246074
2617466	4246074
2617467	4246074
2617468	4246074
40659816	4246074
40661402	4246074
2721040	4246074
2721041	4246074
2617247	4296804
40664502	4061058
2617413	4294927
2721013	4274958
2721111	4274159
2617177	4313306
2720542	4269838
2720547	4269838
2721129	4213465
40664544	4217349
40664514	4217349
40664544	4105895
40664514	4105895
2721143	4190804
2616465	4287856
2617354	4287856
2721116	4314806
43533251	4098799
2615434	4227418
2615435	4227418
2719978	4215400
2719979	4215400
2719990	4215400
40664738	4215400
2720572	4058332
2617418	4251314
2721102	4219551
2721141	4219551
2721072	4208212
2721037	4196581
2721038	4196581
2721039	4196581
2721091	4070879
2721119	40492510
2720491	4246611
43533344	42710010
43533322	42710010
43533323	42710010
43533272	42710010
43533345	42710010
43533346	42710010
2616247	4083230
2616249	4082984
2616250	4082984
2616252	4082984
2616253	4082984
2616248	4201225
2616251	4201225
2616256	4246485
2616254	4202274
2616255	4202274
2616262	4097527
40664541	4082839
40664564	4086399
2615781	4047393
2617291	4324693
2617293	4324693
2617564	4324693
2618081	4324693
2618082	4324693
2720396	4090026
2617440	4233312
2618087	4160058
2618088	4160058
2618089	4160058
2720711	4160058
2721012	4115153
2617490	4082382
2719403	4082382
40658347	4088217
40658748	4088217
2618133	4262027
2618196	4193001
2618130	4193397
2618131	4305724
2618145	4305724
2618161	4305724
2618180	4305724
2618181	4305724
2618193	4305724
2618197	4305724
2618199	4307320
2721131	4168831
2721132	4168831
2721133	4168831
2721134	4168831
2721135	4168831
2720431	4107096
43533293	4032250
2720873	4034302
2616257	4170249
2616258	4170249
2616260	4304250
2616261	4304250
2616245	4304243
2616246	4304243
2616259	4010415
2720508	4017897
2617483	4343108
2617484	4343108
2617485	4343108
2617486	4343108
2617204	4048727
2617808	4225119
43533333	4138306
43533334	4138306
43533321	4124017
2721448	4309371
2617481	43531109
2617482	43531109
2617419	4314251
2721110	4323283
2720315	4010247
2720316	4010247
2720317	4010247
2720318	4010247
2721067	4078461
2721068	4078461
2719957	4030855
2617532	4310033
2617911	4021323
40664906	4134575
43533360	4297090
2618127	4144684
2615307	4133850
2615741	4190630
2615751	4190630
43533247	43531439
43533352	43531439
43533353	43531439
43533248	43531439
2617369	43531439
2617370	43531439
2617462	4010190
2617461	4139362
40664718	4024749
2617337	4166551
2721073	4265743
2721074	4265743
2615419	4041257
2721029	4041257
2720584	4013625
2617178	4029985
43533367	4041848
43533325	4041848
43533181	4041848
40664755	4039922
40664769	4039922
2617304	4201352
2617251	4083105
2617320	4083105
2720567	42872445
2720569	42872445
2720586	4092351
2719997	4022559
2719998	4022559
2719999	4022559
2720000	4022559
2720001	4022559
