atc_code,rxnorm_concept_id,combination
C07FB02,,Y
C07FB03,,Y
C07FB07,,Y
C08CA12,19071187,
C08CA14,,
C08CA15,,
C08CA55,,Y
C08DA51,,Y
C08GA01,,Y
C08GA02,,Y
C09AA12,,
C09AA14,,
C09BA01,,Y
C09BA02,,Y
C09BA03,,Y
C09BA04,,Y
C09BA05,,Y
C09BA06,,Y
C09BA07,,Y
C09BA08,,Y
C09BA09,,Y
C09BA12,,Y
C09BA13,,Y
C09BA15,,Y
C09BB02,,Y
C09BB03,,Y
C09BB04,,Y
C09BB05,,Y
C09BB06,,Y
C09BB07,,Y
C09BB10,,Y
C09BB12,,Y
C09BX01,,Y
C09CA05,,
C09DA01,,Y
C09DA02,,Y
C09DA03,,Y
C09DA04,,Y
C09DA06,,Y
C09DA07,,Y
C09DA08,,Y
C09DB01,,Y
C09DB02,,Y
C09DB04,,Y
C09DB05,,Y
C09DB06,,Y
C09DB07,,Y
C09DX01,,Y
C09DX02,,Y
C09DX03,,Y
C09XA01,,
C09XA52,,Y
C09XA53,,Y
C09XA54,,Y
C10AB03,1598658,
C10AB06,,
C10AB07,,
C10AB10,,
C10AC03,,
C10AD01,,
C10AD04,,
C10AD05,,
C10AD52,,Y
C10AX05,,
C10AX07,,
C10AX10,,
C10BA01,,Y
C10BA02,,Y
C10BA03,,Y
C10BA04,,Y
C10BA05,,Y
C10BA06,,Y
C10BX01,,Y
C10BX02,,Y
C10BX03,,Y
C10BX04,,Y
C10BX05,,Y
D01AA03,,
D01AA04,,
D01AA06,,
D01AA07,,
D01AA20,,Y
D01AC04,,
D01AC06,1837289,
D01AC17,,
D01AC20,,Y
D01AC52,,Y
D01AC60,,Y
D01AE01,,
D01AE03,,
D01AE06,,
D01AE08,,
D01AE09,,
D01AE10,,
D01AE17,,
D01AE54,,Y
D02BB01,,
D02BB02,,
D03AX04,,
D03AX09,,
D03AX10,,
D03BA52,,Y
D04AA02,,
D04AA03,,
D04AA12,,
D04AA13,,
D04AA33,,
D04AB03,,
D04AB05,,
D05AC51,,Y
D05AD01,,
D05AX01,,
D05AX52,,Y
D05BA03,,
D06AX01,,
D06BA51,,Y
D06BB08,,
D06BB53,,Y
D07AB04,19064432,
D07AB05,,
D07AB30,,Y
D07AC14,19123867,
D07AC15,,
D07AC16,19104152,
D07BA01,,Y
D07BA04,,Y
D07BB01,,Y
D07BB02,,Y
D07BB03,,Y
D07BB04,,Y
D07BC01,,Y
D07BC02,,Y
D07BC03,,Y
D07BC04,,Y
D07CA01,,Y
D07CA02,,Y
D07CA03,,Y
D07CB01,,Y
D07CB02,,Y
D07CB03,,Y
D07CB04,,Y
D07CB05,,Y
D07CC01,,Y
D07CC02,,Y
D07CC03,,Y
D07CC04,,Y
D07CC05,,Y
D07CC06,,Y
D07CD01,,Y
D07XB01,,
D07XB30,,Y
D08AA01,19103502,
D08AA02,,
D08AA03,,
D08AC52,,Y
D08AE06,,
D08AF01,,
D08AG01,,
D08AG04,,
D08AJ05,19112536,
D08AJ57,,Y
D08AJ58,,Y
D08AJ59,,Y
D08AK01,,
D08AK02,,
D08AK05,,
D08AX02,,
D08AX03,,
D08AX04,19036053,
D08AX07,,
D08AX53,,Y
D09AA02,,
D09AA03,,
D09AA05,,
D09AA08,19030673,
D09AB01,,
D09AB02,,
D10AB01,,
D10AB03,,
D10AD02,19098975,
D10AD05,,
D10AD53,,Y
D10AD54,,Y
D10AF51,,Y
D10AX01,,
D10AX04,,
D10AX30,,Y
D10BX01,,
D11AC02,,
D11AC08,,
D11AC09,,
D11AE01,,
D11AX52,,Y
D11AX57,,Y
G01AA04,,
G01AA06,,
G01AA08,,
G01AA09,,
G01AA11,,
G01AA51,,Y
G01AB01,,
G01AC01,,
G01AC06,,
G01AD01,,
G01AE01,,
G01AE10,,Y
G01AF13,,
G01AF14,,
G01AF20,,Y
G01AX01,,
G01AX13,,
G01AX14,,
G01AX15,,
G01AX66,,Y
G02AC01,,Y
G02AD05,,
G02BA01,,
G02BA02,,
G02BB01,,Y
G02CA02,,
G02CB06,,
G02CC04,,
G02CX03,,
G02CX04,,
G03AA02,,Y
G03AA03,,Y
G03AA04,,Y
G03AA05,,Y
G03AA06,,Y
G03AA07,,Y
G03AA08,,Y
G03AA09,,Y
G03AA10,,Y
G03AA11,,Y
G03AA12,,Y
G03AA13,,Y
G03AA14,,Y
G03AA15,,Y
G03AA16,,Y
G03AB01,,Y
G03AB02,,Y
G03AB03,,Y
G03AB04,,Y
G03AB05,,Y
G03AB06,,Y
G03AB07,,Y
G03AB08,,Y
G03AC04,,
G03BB02,,
G03CA53,,Y
G03CB03,,
G03CB04,,
G03CC03,,
G03DA01,19059487,
G03DC06,,
G03DC31,,
G03EA01,,Y
G03EA02,,Y
G03EA03,,Y
G03FA01,,Y
G03FA02,,Y
G03FA03,,Y
G03FA04,,Y
G03FA05,,Y
G03FA06,,Y
G03FA07,,Y
G03FA08,,Y
G03FA09,,Y
G03FA10,,Y
G03FA11,,Y
G03FA12,,Y
G03FA13,,Y
G03FA14,,Y
G03FA15,,Y
G03FA16,,Y
G03FA17,,Y
G03FB01,,Y
G03FB02,,Y
G03FB03,,Y
G03FB04,,Y
G03FB05,,Y
G03FB06,,Y
G03FB07,,Y
G03FB08,,Y
G03FB09,,Y
G03FB10,,Y
G03FB11,,Y
G03FB12,,Y
G03GA02,,
G03GA03,,
G03GA09,,
G03GA30,,Y
G03GB03,,
G03HB01,,Y
G03XC03,,
G03XC04,,
G04BD03,,
G04BE30,,Y
G04BE52,,Y
G04BX10,,
G04BX14,,
G04CA51,,Y
G04CA52,,Y
G04CA53,,Y
G04CX03,,
H01BB01,,
H01BB03,,
H01CB04,,
H02BX01,,Y
H03AA03,,Y
H03BA01,,
H03BB52,,Y
H03BX01,,
H03BX02,,
H05AA01,,
H05BA02,19009458,
